WordPart:Root,Meaning
aden/o,gland
hem/o,blood
immun/o,immune system
leuk/o,white
lymphaden/o,lymph nodes
lymphangi/o,lymph vessels
"lymph/o, lymphat/o","lymph or lymphatic 
system"
path/o,disease
phag/o,ingest or engulf
splen/o,spleen
thym/o,thymus
tonsill/o,"lymph node, usually 
palatine tonsil"
"bronch/o, bronchi/o",bronchus
laryng/o,larynx
"nas/o, rhin/o",nose
or/o,"mouth, opening"
ox/o,oxygen
phren/o,diaphragm
pleur/o,pleura
"pneum/o, pneumon/o","air, lung"
pulmon/o,lung
sinus/o,sinus cavity
"thorac/o, thorac/i, 
thoracic/o","thorax, chest"
trache/o,trachea
bucc/o,cheek
cheil/o,lip
cholecyst/o,gallbladder
"dent/i, dent/o",teeth
enter/o,intestine
gastr/o,stomach
gingiv/o,gums
gloss/o,tongue
hepat/o,liver
phag/o,"eating, swallowing"
proct/o,anus and rectum
sial/o,salivary glands
stomat/o,mouth
cyst/o,bladder
glomerul/o,glomerulus
lith/o,stone
"nephr/o, ren/o",kidney
noct/o,night
olig/o,"little, few"
py/o,pus
pyel/o,pelvis
"ur/o, urin/o",urine
ureter/o,ureter
urethr/o,urethra
balan/o,glans penis
cervic/o,cervix
circum/o,around
"colp/o, vagin/o",vagina
gonad/o,"gonads, sex glands"
gynec/o,"woman, female"
lact/o,milk
"mast/o, mamm/o",breast
men/o,menstruation
nat/o,birth
"oophor/o, oo","ovary, egg"
ovari/o,ovary
prostat/o,prostate gland
salping/o,"tube, fallopian tube"
"uter/o, hyster/o, 
metr/o",uterus
vas/o,"vessel, vas deferens"
blephar/o,eyelid
dacry/o,"tears, lacrima"
dipl/o,"two, double"
ocul/o,eye
opt/o,"light, eye, vision"
retin/o,retina
"acous/o, acus/o, acoust/o",hearing
audi/o,sound
aur/o,ear
auricul/o,ear
ot/o,ear
tympan/o,eardrum
anter/o,"front, anterior"
cerv/o,neck
chondr/o,cartilage
cyt/o,cell
dors/o,back
gastr/o,stomach
inguin/o,groin
my/o,muscle
myel/o,spinal cord
neur/o,"nerve, neuron"
poster/o,"posterior, back"
proxim/o,near
sarc,flesh
super/o,superior
albin/o,white
"cirrh/o, jaund/o, 
xanth/o",yellow
cutane/o,skin
cyan/o,blue
cyt/o,cell
derm/o/at/ato,skin
erythr/o,red
fero,to carry
ichthy/o,"dry, scaly (fishlike)"
kerat/o,hornlike
melan/o,black
myc/o,fungus
onych/o,nail
pil/o,hair
scler/o,hardening
seb/o,sebum (oil; fat)
sudor/i/,sweat
xer/o,dry
ankyl/o,"stiff, fused, closed"
arthr/o,joint
brachi/o,arm
cervic/o,neck
cheir/o,hand
chondr/o,cartilage
cost/o,rib
dactyl/o,"finger, toe"
lumb/o,lower back
myel/o,bone marrow
orth/o,"correct, straight"
os/te/o,bone
ped/o,"foot, child"
scoli/o,twisted
thorac/o,"thorax, chest"
cardi/o,heart
fasci/o,fibrous membrane
fibr/o,fiber
kinesi/o,movement
muscul/o,muscle
my/o,muscle
orth/o,straight
oste/o,bone
pedics,child
scler/o,hard
sthen/o,strength
"tend/o, tendin/o",tendon
ton/o,tone
cephal/o,head
cerebell/o,the cerebellum
cerebr/o,the cerebrum; the brain
cortic/o,outer layer or covering
encephal/o,brain
esthesi/o,sensation
gli/o,glue
hydr/o,water
iatr/o,physician; to treat
meningi/o,a membrane
ment/o,referring to the mind
schiz/o,to split
psych/o,referring to the mind
acr/o,extremities
aden/o,gland
"adren/o, adrenal/o",adrenal glands
calc/i,calcium
crin/o,to separate or secrete
endocrin/o,endocrine
"gluc/o, glyc/o/s","sugar, glucose, 
glycogen"
hypophys/o,pituitary gland
pancreat/o,pancreas
"parathyr/o, 
parathyroid/o",parathyroid gland
"thyr/o, thyroid/o",thyroid gland
angi/o,vessel
arteri/o,artery
ather/o,fatty
atri/o,atrium
cardi/o,heart
coron/o,crown; encircling
"hem/o, hemat/o",blood
isch,"restricted, narrowed"
my/o,muscle
ox/o,oxygen
phleb/o,vein
thromb/o,clot
varic/o,dilated
vas/o,vessel
ven/o,vein
